,Experiment_ID,Genome,cell line
31565,SRX2443801,hg19,a549
31566,SRX2443802,hg19,a549
31567,SRX2443803,hg19,a549
31568,SRX2443804,hg19,a549
31569,SRX2443805,hg19,a549
31570,SRX2443806,hg19,a549
31571,SRX2443807,hg19,a549
31572,SRX2443808,hg19,a549
31573,SRX2443809,hg19,a549
31574,SRX2443810,hg19,a549
31575,SRX2443811,hg19,a549
31576,SRX2443812,hg19,a549
31577,SRX2443813,hg19,a549
31578,SRX2443821,hg19,a549
31579,SRX2443822,hg19,a549
31580,SRX2443823,hg19,a549
31581,SRX2443824,hg19,a549
31582,SRX2443825,hg19,a549
31583,SRX2443826,hg19,a549
31584,SRX2443827,hg19,a549
31585,SRX2443828,hg19,a549
31586,SRX2443829,hg19,a549
31587,SRX2443830,hg19,a549
31588,SRX2443831,hg19,a549
31589,SRX2443832,hg19,a549
31590,SRX2443849,hg19,a549
31591,SRX2443850,hg19,a549
31592,SRX2443851,hg19,a549
31593,SRX2443852,hg19,a549
31594,SRX2443853,hg19,a549
31595,SRX2443854,hg19,a549
31596,SRX2443855,hg19,a549
31597,SRX2443856,hg19,a549
31598,SRX2443857,hg19,a549
31599,SRX2443858,hg19,a549
31600,SRX2443859,hg19,a549
31601,SRX2443860,hg19,a549
31602,SRX2443861,hg19,a549
31603,SRX2443862,hg19,a549
31604,SRX2443863,hg19,a549
31605,SRX2443864,hg19,a549
31606,SRX2443873,hg19,a549
31607,SRX2443874,hg19,a549
31608,SRX2443875,hg19,a549
31609,SRX2443876,hg19,a549
31610,SRX2443877,hg19,a549
31611,SRX2443878,hg19,a549
31612,SRX2443879,hg19,a549
31613,SRX2443880,hg19,a549
31614,SRX2443881,hg19,a549
31615,SRX2443882,hg19,a549
31616,SRX2443883,hg19,a549
31617,SRX2443884,hg19,a549
31618,SRX2443885,hg19,a549
31619,SRX2443886,hg19,a549
31620,SRX2443887,hg19,a549
31621,SRX2443888,hg19,a549
31622,SRX2443889,hg19,a549
31623,SRX2443890,hg19,a549
31624,SRX2443891,hg19,a549
31625,SRX2443892,hg19,a549
31626,SRX2443893,hg19,a549
31627,SRX2443894,hg19,a549
31628,SRX2443895,hg19,a549
31629,SRX2443896,hg19,a549
31630,SRX2443897,hg19,a549
31631,SRX2443898,hg19,a549
31632,SRX2443900,hg19,a549
31633,SRX2443901,hg19,a549
31634,SRX2443902,hg19,a549
31635,SRX2443903,hg19,a549
31636,SRX2443914,hg19,a549
31637,SRX2443915,hg19,a549
31638,SRX2443916,hg19,a549
31659,SRX2453441,hg19,mcf10a
31660,SRX2453442,hg19,mcf10a
31661,SRX2453443,hg19,mcf10a
31662,SRX2453445,hg19,mcf10a
31663,SRX2453446,hg19,mcf10a
31664,SRX2453447,hg19,mcf10a
31665,SRX2453448,hg19,mcf10a
31666,SRX2453449,hg19,mcf10a
31667,SRX2453450,hg19,mcf10a
31668,SRX2453451,hg19,mcf10a
31669,SRX2453452,hg19,mcf10a
31670,SRX2453453,hg19,mcf10a
31671,SRX2453455,hg19,mcf10a
31672,SRX245740,hg19,hela
31673,SRX245741,hg19,hela
31674,SRX245742,hg19,hela
31675,SRX245743,hg19,hela
31676,SRX2458133,hg19,gm12878
31677,SRX2458134,hg19,gm12878
31678,SRX2458135,hg19,gm12878
31679,SRX2458136,hg19,gm12878
31680,SRX2458137,hg19,gm12878
31681,SRX2458138,hg19,gm12878
31682,SRX2458139,hg19,gm12878
31683,SRX2458140,hg19,gm12878
31708,SRX246076,hg19,pdnc4
31709,SRX246077,hg19,ims13q
31710,SRX246078,hg19,ms4221
31711,SRX246079,hg19,pdnc4
31712,SRX246080,hg19,ims13q
31713,SRX246081,hg19,ms4221
31718,SRX2464019,hg19,skno1
31719,SRX2464020,hg19,skno1
31720,SRX2464021,hg19,skno1
31723,SRX246861,hg19,mda231
31724,SRX246862,hg19,mda231
31725,SRX246863,hg19,mda231
31726,SRX246864,hg19,mda231
31727,SRX246953,hg19,ht1080
31728,SRX246954,hg19,ht1080
31729,SRX246955,hg19,ht1080
31744,SRX2470089,hg19,shsy5y
31745,SRX2470090,hg19,shsy5y
31746,SRX2480567,hg19,a549
31747,SRX2480568,hg19,a549
31767,SRX248440,hg19,mcf7
31768,SRX248441,hg19,mcf7
31769,SRX248442,hg19,mcf7
31770,SRX248443,hg19,mcf7
31771,SRX248444,hg19,mcf7
31772,SRX248445,hg19,mcf7
31773,SRX248446,hg19,mcf7
31774,SRX248447,hg19,mcf7
31784,SRX248894,hg19,lncap
31785,SRX248895,hg19,lncap
31786,SRX248896,hg19,lncap
31787,SRX248897,hg19,lncap
31804,SRX2499852,hg19,mcf10a
31805,SRX2499853,hg19,mcf10a
31806,SRX2499854,hg19,mcf10a
31807,SRX2499855,hg19,mcf10a
31808,SRX2499856,hg19,mcf10a
31809,SRX2499857,hg19,mcf10a
31810,SRX2499858,hg19,mcf10a
31811,SRX2499859,hg19,mcf10a
31812,SRX2499860,hg19,mcf10a
31813,SRX2499861,hg19,mcf10a
31814,SRX2499862,hg19,mcf10a
31815,SRX2499863,hg19,mcf10a
31816,SRX2499864,hg19,mcf10a
31817,SRX2499865,hg19,mcf10a
31818,SRX2499866,hg19,mcf10a
31819,SRX2499867,hg19,mcf10a
31826,SRX2505193,hg19,lncap prostate tumor cell line
31827,SRX2505194,hg19,lncap prostate tumor cell line
31828,SRX2505195,hg19,lncap prostate tumor cell line
31869,SRX2511889,hg19,colon cancer cell line hct116
31870,SRX2511890,hg19,colon cancer cell line hct116
31871,SRX2511891,hg19,colon cancer cell line hct116
31872,SRX2511892,hg19,colon cancer cell line hct116
31887,SRX2512638,hg19,loucy
31890,SRX2512641,hg19,jurkat
31891,SRX2512642,hg19,loucy
32128,SRX2512919,hg19,mcf7
32129,SRX2512920,hg19,mcf7
32134,SRX2513056,hg19,t47d
32135,SRX2513057,hg19,mcf
32136,SRX2513497,hg19,mcf7
32137,SRX2513498,hg19,mcf7
32138,SRX2513499,hg19,mcf7
32139,SRX2513500,hg19,mcf7
32140,SRX2513501,hg19,mcf7
32141,SRX2513502,hg19,mcf7
32142,SRX2513503,hg19,mcf7
32143,SRX2513504,hg19,mcf7
32144,SRX2513505,hg19,mcf7
32145,SRX2513506,hg19,mcf7
32146,SRX2513507,hg19,mcf7
32147,SRX2513508,hg19,mcf7
32148,SRX2513509,hg19,mcf7
32149,SRX2513510,hg19,mcf7
32150,SRX2513511,hg19,mcf7
32151,SRX2513512,hg19,mcf7
32152,SRX2513513,hg19,mcf7
32153,SRX2513514,hg19,mcf7
32154,SRX2513515,hg19,mcf7
32155,SRX2513516,hg19,mcf7
32156,SRX2513517,hg19,mcf7
32157,SRX2513518,hg19,mcf7
32158,SRX2513519,hg19,mcf7
32159,SRX2513520,hg19,mcf7
32160,SRX2513521,hg19,mcf7
32161,SRX2513522,hg19,mcf7
32162,SRX2513523,hg19,mcf7
32163,SRX2513524,hg19,mcf7
32164,SRX2513525,hg19,mcf7
32202,SRX2515414,hg19,mcf10a
32203,SRX2515415,hg19,mcf10a
32204,SRX2515416,hg19,mcf10a
32205,SRX2515417,hg19,mcf10a
32206,SRX2515418,hg19,mcf10a
32207,SRX2515419,hg19,mcf10a
32208,SRX2515420,hg19,mcf10a
32209,SRX2515421,hg19,mcf10a
32210,SRX2515422,hg19,mcf10a
32211,SRX2515423,hg19,mcf10a
32212,SRX2515424,hg19,mcf10a
32213,SRX2515425,hg19,mcf10a
32214,SRX2515426,hg19,mcf10a
32215,SRX2515427,hg19,mcf10a
32309,SRX253212,hg19,daoy
32310,SRX253213,hg19,daoy
32316,SRX2532329,hg19,jurkat
32324,SRX2533037,hg19,hct116
32325,SRX2533040,hg19,k562
32326,SRX2533042,hg19,k562
32327,SRX2533043,hg19,k562
32328,SRX2533045,hg19,k562
32329,SRX2533046,hg19,k562
32330,SRX2533047,hg19,k562
32331,SRX2533048,hg19,k562
32332,SRX2533049,hg19,k562
32333,SRX2533050,hg19,k562
32334,SRX2533051,hg19,hct116
32352,SRX2537032,hg19,mcf7
32353,SRX2537033,hg19,mcf7
32354,SRX2537035,hg19,mcf7
32355,SRX2537036,hg19,mcf7
32356,SRX2537037,hg19,mcf7
32357,SRX2537038,hg19,mcf7
32364,SRX2537502,hg19,skmel147
32365,SRX2537503,hg19,501mel
32366,SRX2537504,hg19,skmel239
32367,SRX2537505,hg19,skmel2
32370,SRX2537508,hg19,skmel147
32371,SRX2537509,hg19,501mel
32372,SRX2537510,hg19,skmel239
32373,SRX2537511,hg19,skmel2
32374,SRX2537512,hg19,skmel147
32375,SRX2537513,hg19,skmel147
32376,SRX2537514,hg19,skmel147
32377,SRX2537515,hg19,skmel147
32378,SRX2537516,hg19,skmel147
32379,SRX2537517,hg19,skmel147
32380,SRX2537518,hg19,skmel147
32381,SRX2537519,hg19,skmel147
32382,SRX2537520,hg19,skmel147
32383,SRX2537521,hg19,skmel147
32384,SRX2537522,hg19,skmel147
32387,SRX2537525,hg19,501mel
32388,SRX2537526,hg19,skmel239
32389,SRX2537527,hg19,skmel2
32413,SRX2541216,hg19,lncap cells
32414,SRX2541217,hg19,lncap cells
32415,SRX2541218,hg19,lncap cells
32416,SRX2541219,hg19,ltad cells
32417,SRX2541220,hg19,ltad cells
32418,SRX2541221,hg19,ltad cells
32419,SRX2541222,hg19,ltad cells
32420,SRX2541223,hg19,lncap cells
32421,SRX2541224,hg19,lncap cells
32422,SRX2541225,hg19,lncap cells
32423,SRX2541226,hg19,lncap cells
32424,SRX2541227,hg19,lncap cells
32425,SRX2541228,hg19,ltad cells
32426,SRX2541229,hg19,ltad cells
32427,SRX2541230,hg19,ltad cells
32428,SRX2541231,hg19,ltad cells
32429,SRX2541232,hg19,ltad cells
32430,SRX2541233,hg19,ltad cells
32431,SRX2541234,hg19,ltad cells
32432,SRX2541235,hg19,ltad cells
32433,SRX2541236,hg19,ltad cells
32434,SRX2541237,hg19,ltad cells
32435,SRX2541238,hg19,ltad cells
32436,SRX2541239,hg19,ltad cells
32437,SRX2541240,hg19,ltad cells
32441,SRX2541244,hg19,ltad cells
32442,SRX2541245,hg19,ltad cells
32443,SRX2541246,hg19,ltad cells
32444,SRX2541247,hg19,ltad cells
32538,SRX2545997,hg19,leukemia cell line molm13
32539,SRX2545998,hg19,leukemia cell line molm13
32540,SRX2545999,hg19,leukemia cell line molm13
32541,SRX2546000,hg19,leukemia cell line molm13
32542,SRX2546001,hg19,leukemia cell line molm13
32543,SRX2546002,hg19,leukemia cell line molm13
32544,SRX2546003,hg19,leukemia cell line molm13
32545,SRX2546004,hg19,leukemia cell line molm13
32546,SRX2546005,hg19,leukemia cell line molm13
32547,SRX2546006,hg19,leukemia cell line molm13
32548,SRX2546007,hg19,leukemia cell line molm13
32549,SRX2546008,hg19,leukemia cell line molm13
32550,SRX2546009,hg19,leukemia cell line molm13
32551,SRX2546010,hg19,leukemia cell line molm13
32552,SRX2546011,hg19,leukemia cell line molm13
32553,SRX2546012,hg19,leukemia cell line molm13
32554,SRX2546013,hg19,leukemia cell line molm13
32555,SRX2546014,hg19,leukemia cell line molm13
32587,SRX2548277,hg19,kk1
32588,SRX2548278,hg19,kk1
32589,SRX2548279,hg19,st1
32590,SRX2548280,hg19,st1
32591,SRX2548281,hg19,st1
32592,SRX2548282,hg19,st1
32593,SRX2548283,hg19,kk1
32594,SRX2548284,hg19,kk1
32595,SRX2548285,hg19,st1
32596,SRX2548286,hg19,st1
32597,SRX2548287,hg19,kk1
32598,SRX2548288,hg19,kk1
32599,SRX2548289,hg19,st1
32600,SRX2548290,hg19,st1
32601,SRX2548291,hg19,kk1
32602,SRX2548292,hg19,kk1
32603,SRX2548293,hg19,kk1
32604,SRX2548294,hg19,kk1
32605,SRX2548295,hg19,st1
32606,SRX2548296,hg19,st1
32607,SRX2548297,hg19,st1
32608,SRX2548298,hg19,st1
32609,SRX2548299,hg19,kk1
32610,SRX2548300,hg19,kk1
32611,SRX255043,hg19,huref
32612,SRX255044,hg19,huref
32613,SRX2550933,hg19,ngp
32614,SRX2550934,hg19,kelly
32616,SRX2550936,hg19,ngp
32617,SRX2550937,hg19,kelly
32619,SRX2553920,hg19,mcf7
32620,SRX2553921,hg19,mcf7
32621,SRX2553922,hg19,mcf7
32622,SRX2553923,hg19,mcf7
32623,SRX2553924,hg19,mcf7
32624,SRX2553925,hg19,mcf7
32625,SRX2553926,hg19,mcf7
32626,SRX2553927,hg19,mcf7
32627,SRX2553928,hg19,mcf7
32628,SRX2553929,hg19,mcf7
32629,SRX2553930,hg19,mcf7
32630,SRX2553931,hg19,mcf7
32631,SRX2553932,hg19,mcf7
32632,SRX2553933,hg19,mcf7
32633,SRX2553934,hg19,mcf7
32634,SRX2553935,hg19,mcf7
32635,SRX2553936,hg19,mcf7
32636,SRX2553937,hg19,mcf7
32637,SRX2553938,hg19,mcf7
32638,SRX2553939,hg19,mcf7
32708,SRX2570604,hg19,hap1
32709,SRX2570605,hg19,hap1
32710,SRX2570606,hg19,hap1
32711,SRX2570607,hg19,hap1
32712,SRX2570608,hg19,hap1
32713,SRX2570609,hg19,hap1
32714,SRX2570610,hg19,hap1
32715,SRX2570611,hg19,hap1
32716,SRX2570612,hg19,hap1
32717,SRX2570613,hg19,hap1
32718,SRX2570614,hg19,hap1
32719,SRX2570615,hg19,hap1
32802,SRX2582034,hg19,breast triple negative tumor cell line bcsc1
32803,SRX2582035,hg19,breast triple negative tumor cell line bcsc1
32804,SRX2582036,hg19,breast triple negative tumor cell line bcsc1
32805,SRX2582037,hg19,breast triple negative tumor cell line bcsc1
32806,SRX2582038,hg19,breast triple negative tumor cell line bcsc1
32807,SRX2582039,hg19,breast triple negative tumor cell line bcsc1
32808,SRX2582040,hg19,breast triple negative tumor cell line bcsc1
32809,SRX2582041,hg19,breast triple negative tumor cell line bcsc1
32823,SRX2584126,hg19,501mel
32824,SRX2584127,hg19,501mel
32825,SRX2584128,hg19,501mel
32826,SRX2584129,hg19,501mel
32827,SRX2584130,hg19,501mel
32834,SRX2586450,hg19,hct116
32835,SRX2586451,hg19,hct116
32836,SRX2586452,hg19,hct116
32837,SRX2586453,hg19,hct116
32838,SRX2586454,hg19,hct116
32839,SRX2586455,hg19,hct116
32854,SRX2588915,hg19,t47d cell
32855,SRX2588916,hg19,t47d cell
32856,SRX2588917,hg19,t47d cell
32857,SRX2588918,hg19,t47d cell
32858,SRX2589927,hg19,k562
32859,SRX2589928,hg19,k562
32860,SRX2589929,hg19,k562
32861,SRX2589930,hg19,k562
32862,SRX2589931,hg19,k562
32863,SRX2589932,hg19,k562
32864,SRX2589933,hg19,k562
32865,SRX2589934,hg19,k562
32866,SRX2589935,hg19,k562
32867,SRX2589936,hg19,k562
32868,SRX2589937,hg19,k562
32869,SRX2589938,hg19,k562
32870,SRX2589939,hg19,k562
32871,SRX2589940,hg19,k562
32872,SRX2589941,hg19,k562
32873,SRX2589942,hg19,k562
32874,SRX2589943,hg19,k562
32875,SRX2589944,hg19,k562
32876,SRX2589945,hg19,k562
32877,SRX2589946,hg19,k562
32878,SRX2589947,hg19,k562
32879,SRX2589948,hg19,k562
32880,SRX2589949,hg19,k562
32881,SRX2589950,hg19,k562
32882,SRX2589951,hg19,k562
32883,SRX2589952,hg19,k562
32884,SRX2589953,hg19,k562
32885,SRX2589954,hg19,k562
32886,SRX2589955,hg19,k562
32887,SRX2589956,hg19,k562
32888,SRX2589957,hg19,k562
32889,SRX2589958,hg19,k562
32890,SRX2589959,hg19,k562
32891,SRX2589960,hg19,k562
32892,SRX2589961,hg19,k562
32893,SRX2589962,hg19,k562
32894,SRX2589963,hg19,k562
32895,SRX2589964,hg19,k562
32896,SRX2589965,hg19,k562
32897,SRX2589966,hg19,k562
32898,SRX2589967,hg19,k562
32899,SRX2589968,hg19,k562
32900,SRX2589969,hg19,k562
32901,SRX2589970,hg19,k562
32902,SRX2589971,hg19,k562
32903,SRX2589972,hg19,k562
32904,SRX2589973,hg19,k562
32905,SRX2589974,hg19,k562
32906,SRX2589975,hg19,k562
32907,SRX2589976,hg19,k562
32908,SRX2589977,hg19,k562
32909,SRX2589978,hg19,k562
32910,SRX2589979,hg19,k562
32911,SRX2589980,hg19,k562
32912,SRX2589981,hg19,k562
32913,SRX2589982,hg19,k562
32925,SRX2594215,hg19,rwpe1
32926,SRX2594216,hg19,rwpe1
32927,SRX2594218,hg19,rwpe1
32940,SRX259801,hg19,hela cell
32941,SRX259802,hg19,hela cell
32942,SRX259803,hg19,hela cell
32943,SRX259804,hg19,hela cell
32944,SRX259805,hg19,hela cell
32945,SRX259806,hg19,hela cell
32946,SRX259807,hg19,hela cell
32947,SRX259808,hg19,hela cell
32948,SRX259809,hg19,hela cell
32949,SRX259810,hg19,hela cell
32950,SRX259811,hg19,hela cell
32951,SRX259812,hg19,hela cell
32952,SRX259813,hg19,hela cell
32953,SRX259814,hg19,hela cell
32954,SRX259815,hg19,hela cell
32955,SRX259816,hg19,hela cell
32956,SRX259817,hg19,hela cell
32957,SRX2598521,hg19,hela
32958,SRX2598522,hg19,hela
32959,SRX2598523,hg19,hela
32960,SRX2598524,hg19,hela
32961,SRX2598525,hg19,hela
32962,SRX2598534,hg19,hela
32963,SRX2598535,hg19,hela
32964,SRX2598536,hg19,hela
33004,SRX2607382,hg19,parental hcc827 cells
33005,SRX2607383,hg19,parental hcc827 cells
33006,SRX2607384,hg19,resistance hcc827 zdr3 cells
33007,SRX2607385,hg19,resistance hcc827 zdr3 cells
33028,SRX2610695,hg19,a1847
33029,SRX2610696,hg19,a1847
33030,SRX2610697,hg19,a1847
33031,SRX2610698,hg19,a1847
33032,SRX2610699,hg19,a1847
33033,SRX2610700,hg19,a1847
33034,SRX2611760,hg19,molt4
33035,SRX2611761,hg19,molt4
33036,SRX2611762,hg19,molt4
33037,SRX2611763,hg19,molt4
33040,SRX261273,hg19,mcf7
33041,SRX261274,hg19,mcf7
33042,SRX261275,hg19,mcf7
33043,SRX261276,hg19,mcf7
33044,SRX261277,hg19,mcf7
33063,SRX2614874,hg19,hk1
33064,SRX2614875,hg19,hk1
33065,SRX2614876,hg19,hk1
33066,SRX2614877,hg19,hk1
33067,SRX2614878,hg19,hne1
33068,SRX2614879,hg19,hne1
33069,SRX2614880,hg19,hne1
33070,SRX2614881,hg19,hne1
33077,SRX262133,hg19,mcf7 cells
33078,SRX262134,hg19,mcf7 cells
33079,SRX262135,hg19,mcf7 cells
33080,SRX262136,hg19,mcf7 cells
33081,SRX262137,hg19,mcf7 cells
33082,SRX262138,hg19,mcf7 cells
33083,SRX262139,hg19,mcf7 cells
33084,SRX262140,hg19,mcf7 cells
33085,SRX262141,hg19,mcf7 cells
33086,SRX262142,hg19,mcf7 cells
33119,SRX2628139,hg19,ews502
33120,SRX2628140,hg19,ews502
33121,SRX2628141,hg19,mamel
33122,SRX2628142,hg19,mamel
33153,SRX2629470,hg19,hct116
33154,SRX2629471,hg19,hct116
33155,SRX2629472,hg19,hct116
33156,SRX2629473,hg19,hct116
33157,SRX2629474,hg19,hct116
33158,SRX2629475,hg19,hct116
33159,SRX2629476,hg19,hct116
33160,SRX2629477,hg19,hct116
33161,SRX2629482,hg19,hct116
33162,SRX2629483,hg19,hct116
33163,SRX2629484,hg19,hct116
33164,SRX2629485,hg19,hct116
33165,SRX2629486,hg19,hct116
33166,SRX2629487,hg19,hct116
33167,SRX2630128,hg19,hepg2
33168,SRX2630129,hg19,hepg2
33169,SRX2630130,hg19,loucy
33170,SRX2630131,hg19,loucy
33178,SRX2630139,hg19,hepg2
33179,SRX2630140,hg19,hepg2
33184,SRX2630145,hg19,gm12878
33185,SRX2630146,hg19,gm12878
33192,SRX2630153,hg19,hepg2
33193,SRX2630154,hg19,hepg2
33194,SRX2630155,hg19,hepg2
33195,SRX2630156,hg19,hepg2
33196,SRX2630157,hg19,hepg2
33197,SRX2630158,hg19,hepg2
33198,SRX2630159,hg19,acc112
33199,SRX2630160,hg19,acc112
33200,SRX2630161,hg19,acc112
33201,SRX2630162,hg19,hepg2
33202,SRX2630163,hg19,hepg2
33208,SRX2630169,hg19,k562
33209,SRX2630170,hg19,k562
33214,SRX2630175,hg19,k562
33215,SRX2630176,hg19,k562
33218,SRX2630179,hg19,hct116
33219,SRX2630180,hg19,hct116
33220,SRX2630181,hg19,k562
33221,SRX2630182,hg19,k562
33222,SRX2630183,hg19,hepg2
33223,SRX2630184,hg19,hepg2
33224,SRX2630185,hg19,hct116
33225,SRX2630186,hg19,hct116
33228,SRX2630189,hg19,hepg2
33229,SRX2630190,hg19,hepg2
33230,SRX2630191,hg19,k562
33231,SRX2630192,hg19,k562
33234,SRX2630195,hg19,hepg2
33235,SRX2630196,hg19,hepg2
33243,SRX2630204,hg19,sudhl6
33244,SRX2630205,hg19,sudhl6
33245,SRX2630206,hg19,hepg2
33246,SRX2630207,hg19,hepg2
33249,SRX2630210,hg19,hepg2
33250,SRX2630211,hg19,hepg2
33259,SRX2630220,hg19,hepg2
33260,SRX2630221,hg19,hepg2
33261,SRX2630222,hg19,hepg2
33262,SRX2630223,hg19,hepg2
33269,SRX2630230,hg19,k562
33273,SRX2630234,hg19,hepg2
33274,SRX2630235,hg19,hepg2
33280,SRX2630241,hg19,hepg2
33281,SRX2630242,hg19,hepg2
33282,SRX2630243,hg19,gm12878
33283,SRX2630244,hg19,gm12878
33284,SRX2630245,hg19,gm12878
33285,SRX2630246,hg19,gm12878
33286,SRX2630247,hg19,gm12878
33287,SRX2630248,hg19,gm12878
33288,SRX2630249,hg19,gm12878
33289,SRX2630250,hg19,gm12878
33299,SRX2630260,hg19,induced pluripotent stem cell
33300,SRX2630261,hg19,induced pluripotent stem cell
33309,SRX2630270,hg19,k562
33310,SRX2630271,hg19,k562
33311,SRX2630272,hg19,hepg2
33312,SRX2630273,hg19,hepg2
33313,SRX2630274,hg19,hct116
33314,SRX2630275,hg19,hct116
33315,SRX2630276,hg19,hct116
33323,SRX2630284,hg19,hepg2
33324,SRX2630285,hg19,hepg2
33329,SRX2630290,hg19,loucy
33330,SRX2630291,hg19,loucy
33331,SRX2630292,hg19,loucy
33332,SRX2630293,hg19,loucy
33337,SRX2630298,hg19,hepg2
33338,SRX2630299,hg19,hepg2
33351,SRX2630312,hg19,loucy
33352,SRX2630313,hg19,loucy
33353,SRX2630314,hg19,hct116
33354,SRX2630315,hg19,hct116
33359,SRX2630320,hg19,a673
33360,SRX2630321,hg19,a673
33361,SRX2630322,hg19,a673
33362,SRX2630323,hg19,gm12878
33363,SRX2630324,hg19,gm12878
33372,SRX2630333,hg19,hepg2
33373,SRX2630334,hg19,hepg2
33383,SRX2630344,hg19,gm12878
33384,SRX2630345,hg19,gm12878
33392,SRX2630353,hg19,k562
33393,SRX2630354,hg19,k562
33394,SRX2630355,hg19,hepg2
33395,SRX2630356,hg19,hepg2
33396,SRX2630357,hg19,hepg2
33401,SRX2630362,hg19,hepg2
33402,SRX2630363,hg19,gm12878
33403,SRX2630364,hg19,induced pluripotent stem cell
33404,SRX2630365,hg19,induced pluripotent stem cell
33405,SRX2630366,hg19,hepg2
33406,SRX2630367,hg19,hct116
33407,SRX2630368,hg19,hct116
33411,SRX2630372,hg19,hepg2
33413,SRX2630374,hg19,induced pluripotent stem cell
33414,SRX2630375,hg19,induced pluripotent stem cell
33418,SRX2630379,hg19,hepg2
33419,SRX2630380,hg19,hepg2
33426,SRX2630387,hg19,k562
33427,SRX2630388,hg19,gm12878
33428,SRX2630389,hg19,gm12878
33433,SRX2630394,hg19,loucy
33434,SRX2630395,hg19,loucy
33442,SRX2630403,hg19,hepg2
33443,SRX2630404,hg19,hepg2
33444,SRX2630405,hg19,hepg2
33445,SRX2630406,hg19,hepg2
33448,SRX2630409,hg19,k562
33449,SRX2630410,hg19,k562
33458,SRX2630419,hg19,gm12878
33459,SRX2630420,hg19,gm12878
33460,SRX2630421,hg19,gm12878
33461,SRX2630422,hg19,induced pluripotent stem cell
33462,SRX2630423,hg19,induced pluripotent stem cell
33463,SRX2630424,hg19,dohh2
33464,SRX2630425,hg19,dohh2
33465,SRX2630426,hg19,dohh2
33472,SRX2630433,hg19,k562
33473,SRX2630434,hg19,k562
33474,SRX2630435,hg19,hepg2
33477,SRX2630438,hg19,induced pluripotent stem cell
33478,SRX2630439,hg19,induced pluripotent stem cell
33479,SRX2630440,hg19,k562
33482,SRX2630443,hg19,k562
33483,SRX2630444,hg19,k562
33484,SRX2630445,hg19,k562
33485,SRX2630446,hg19,k562
33486,SRX2630447,hg19,k562
33487,SRX2630448,hg19,k562
33488,SRX2630449,hg19,k562
33489,SRX2630450,hg19,k562
33503,SRX2630464,hg19,hepg2
33504,SRX2630465,hg19,hepg2
33505,SRX2630466,hg19,gm12878
33506,SRX2630467,hg19,gm12878
33507,SRX2630468,hg19,sudhl6
33508,SRX2630469,hg19,sudhl6
33509,SRX2630470,hg19,hepg2
33510,SRX2630471,hg19,hepg2
33516,SRX2631786,hg19,u20s asisi
33517,SRX2631787,hg19,u20s asisi
33520,SRX2631830,hg19,rko
33521,SRX2631831,hg19,rko
33522,SRX2631832,hg19,sw48
33523,SRX2631833,hg19,sw48
33524,SRX2631834,hg19,sw620
33525,SRX2631835,hg19,sw620
33609,SRX2635784,hg19,induced pluripotent stem cell
33610,SRX2635785,hg19,induced pluripotent stem cell
33613,SRX2635788,hg19,hepg2
33614,SRX2635789,hg19,hepg2
33615,SRX2635790,hg19,hepg2
33616,SRX2635791,hg19,hepg2
33617,SRX2635792,hg19,gm12878
33618,SRX2635793,hg19,gm12878
33625,SRX2635800,hg19,hct116
33626,SRX2635801,hg19,hct116
33629,SRX2635804,hg19,k562
33630,SRX2635805,hg19,k562
33643,SRX2635818,hg19,hepg2
33652,SRX2635827,hg19,hepg2
33653,SRX2635828,hg19,gm12878
33654,SRX2635829,hg19,k562
33655,SRX2635830,hg19,k562
33656,SRX2635831,hg19,sudhl6
33657,SRX2635832,hg19,sudhl6
33660,SRX2635835,hg19,induced pluripotent stem cell
33661,SRX2635836,hg19,induced pluripotent stem cell
33662,SRX2635837,hg19,gm12878
33663,SRX2635838,hg19,gm12878
33666,SRX2635841,hg19,hepg2
33667,SRX2635842,hg19,hepg2
33680,SRX2635855,hg19,induced pluripotent stem cell
33681,SRX2635856,hg19,induced pluripotent stem cell
33682,SRX2635857,hg19,hepg2
33683,SRX2635858,hg19,hepg2
33688,SRX2635864,hg19,hepg2
33689,SRX2635865,hg19,hepg2
33698,SRX2635874,hg19,hepg2
33699,SRX2635875,hg19,loucy
33700,SRX2635876,hg19,loucy
33703,SRX2635879,hg19,induced pluripotent stem cell
33706,SRX2635882,hg19,hepg2
33707,SRX2635883,hg19,hepg2
33708,SRX2635884,hg19,hepg2
33709,SRX2635885,hg19,hepg2
33710,SRX2635886,hg19,hepg2
33711,SRX2635887,hg19,hepg2
33712,SRX2635888,hg19,hepg2
33713,SRX2635889,hg19,hepg2
33714,SRX2635890,hg19,hepg2
33715,SRX2635891,hg19,hepg2
33716,SRX2635892,hg19,hepg2
33717,SRX2635893,hg19,hepg2
33724,SRX2635900,hg19,dohh2
33725,SRX2635901,hg19,dohh2
33736,SRX2635912,hg19,hct116
33737,SRX2635913,hg19,hct116
33738,SRX2635914,hg19,hepg2
33739,SRX2635915,hg19,hepg2
33740,SRX2635916,hg19,acc112
33741,SRX2635917,hg19,acc112
33745,SRX2635921,hg19,hepg2
33746,SRX2635922,hg19,hepg2
33751,SRX2635927,hg19,gm12878
33752,SRX2635928,hg19,gm12878
33759,SRX2635935,hg19,hepg2
33760,SRX2635936,hg19,hepg2
33763,SRX2635940,hg19,hepg2
33764,SRX2635941,hg19,hepg2
33765,SRX2635942,hg19,hepg2
33766,SRX2635943,hg19,hepg2
33776,SRX2635953,hg19,k562
